Slot ID;Owned;Qty;Card Name;Set / Product;Card #;Variant / Printing;Representative Language;All Languages (same card/version);Language Count;Same card in other languages?;Other Languages;Release Status;Release Date;Release Detail;Date Precision;Origin;Legacy ID;Verification;Notes;Primary Source;Verification Source;Unique Version Key
EVM-0014;No;0;Eevee;JR East Pokémon Stamp Rally 2000;Unnumbered;Non-Holo (JR East Stamp Rally);English;English;1;No;;Released;2000-08-01;01/08/2000–20/08/2000 (JR East Pokémon Stamp Rally 2000);Range;Original tracker;EEV-0014;Audited base + language mapping;"English non-holo variant distributed in Japan for the JR East Pokémon Stamp Rally 2000 gold course; based on Wizards Promo Eevee #11 but cataloged as an unnumbered promotional issue.";https://pokecottage.com/pokemon-master-sets/eevee;https://bulbapedia.bulbagarden.net/wiki/Eevee_(Wizards_Promo_11);Eevee | JR East Pokémon Stamp Rally 2000 | Unnumbered | Non-Holo (JR East Stamp Rally)
EVM-0015;No;0;Lt. Surge's Eevee;Gym Challenge;51/132;1st Edition;English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2000-10-16;16/10/2000;Exact;Original tracker;EEV-0015;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Lt. Surge's Eevee | Gym Challenge | 51/132 | 1st Edition
EVM-0016;No;0;Lt. Surge's Eevee;Gym Challenge;51/132;Standard;English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2000-10-16;16/10/2000;Exact;Original tracker;EEV-0016;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Lt. Surge's Eevee | Gym Challenge | 51/132 | Standard
EVM-0017;No;0;Eevee;Sample Set (e-Reader test sample);Unnumbered;Dotted e-Reader code variant;Japanese;Japanese;1;No;;Prototype;2001-01-01;"2001 — prototype/test e-Reader; non fu una normale uscita retail e non è documentato un giorno esatto";Prototype year;Original tracker;EEV-0426;Audited base + language mapping;"Documented March 2001 e-Reader test sample; never intended for public distribution. Dotted-code physical variation.";https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG);https://bulbapedia.bulbagarden.net/wiki/Eevee_(Sample_Set);Eevee | Sample Set (e-Reader test sample) | Unnumbered | Dotted e-Reader code variant
EVM-0018;No;0;Eevee;Sample Set (e-Reader test sample);Unnumbered;Striped e-Reader code variant;Japanese;Japanese;1;No;;Prototype;2001-01-01;"2001 — prototype/test e-Reader; non fu una normale uscita retail e non è documentato un giorno esatto";Prototype year;Original tracker;EEV-0427;Audited base + language mapping;"Documented March 2001 e-Reader test sample; never intended for public distribution. Striped-code physical variation.";https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG);https://bulbapedia.bulbagarden.net/wiki/Eevee_(Sample_Set);Eevee | Sample Set (e-Reader test sample) | Unnumbered | Striped e-Reader code variant
EVM-0019;No;0;Eevee;Neo Discovery;38/75;1st Edition;English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2001-06-01;01/06/2001;Exact;Original tracker;EEV-0017;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Neo Discovery | 38/75 | 1st Edition
EVM-0020;No;0;Eevee;Neo Discovery;38/75;Standard;English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2001-06-01;01/06/2001;Exact;Original tracker;EEV-0018;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Neo Discovery | 38/75 | Standard
EVM-0021;No;0;Eevee;The Town on No Map;058/092;1st Edition;Japanese;Japanese;1;No;;Released;2002-03-08;08/03/2002;Exact;Original tracker;EEV-0019;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | The Town on No Map | 058/092 | 1st Edition
EVM-0022;No;0;Eevee;The Town on No Map;058/092;Standard;Japanese;Japanese;1;No;;Released;2002-03-08;08/03/2002;Exact;Original tracker;EEV-0020;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | The Town on No Map | 058/092 | Standard
EVM-0023;No;0;Eevee;Legendary Collection;74/110;Reverse Holo;English;English;1;No;;Released;2002-05-24;24/05/2002;Exact;Original tracker;EEV-0022;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Legendary Collection | 74/110 | Reverse Holo
EVM-0024;No;0;Eevee;Legendary Collection;74/110;Standard;English;English;1;No;;Released;2002-05-24;24/05/2002;Exact;Original tracker;EEV-0021;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Legendary Collection | 74/110 | Standard
EVM-0025;No;0;Eevee;Split Earth;065/088;1st Edition;Japanese;Japanese;1;No;;Released;2002-08-23;23/08/2002;Exact;Original tracker;EEV-0023;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Split Earth | 065/088 | 1st Edition
EVM-0026;No;0;Eevee;Split Earth;065/088;Standard;Japanese;Japanese;1;No;;Released;2002-08-23;23/08/2002;Exact;Original tracker;EEV-0024;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Split Earth | 065/088 | Standard
EVM-0027;No;0;Eevee;Aquapolis;75/147;Reverse Holo;English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2003-01-15;15/01/2003;Exact;Original tracker;EEV-0026;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Aquapolis | 75/147 | Reverse Holo
EVM-0028;No;0;Eevee;Aquapolis;75/147;Standard;English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2003-01-15;15/01/2003;Exact;Original tracker;EEV-0025;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Aquapolis | 75/147 | Standard
EVM-0029;No;0;Eevee;Skyridge;54/144;Reverse Holo;English;English, German, Italian;3;Yes;German, Italian;Released;2003-05-12;12/05/2003;Exact;Original tracker;EEV-0028;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Skyridge | 54/144 | Reverse Holo
EVM-0030;No;0;Eevee;Skyridge;54/144;Standard;English;English, German, Italian;3;Yes;German, Italian;Released;2003-05-12;12/05/2003;Exact;Original tracker;EEV-0027;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Skyridge | 54/144 | Standard
EVM-0031;No;0;Eevee;EX Sandstorm;63/100;Reverse Holo;English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2003-09-18;18/09/2003;Exact;Original tracker;EEV-0032;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | EX Sandstorm | 63/100 | Reverse Holo
EVM-0032;No;0;Eevee;EX Sandstorm;63/100;Standard (FXE-WTF-G7Z);English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2003-09-18;18/09/2003;Exact;Original tracker;EEV-0029;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | EX Sandstorm | 63/100 | Standard (FXE-WTF-G7Z)
EVM-0033;No;0;Eevee;EX Sandstorm;63/100;Standard (FXE-WTF-JPX);English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2003-09-18;18/09/2003;Exact;Original tracker;EEV-0030;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | EX Sandstorm | 63/100 | Standard (FXE-WTF-JPX)
EVM-0034;No;0;Eevee;EX Sandstorm;63/100;Standard (FXE-WTF-TE5);English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2003-09-18;18/09/2003;Exact;Original tracker;EEV-0031;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | EX Sandstorm | 63/100 | Standard (FXE-WTF-TE5)
EVM-0035;No;0;Eevee;Magma VS Aqua: Two Ambitions;054/080;1st Edition;Japanese;Japanese;1;No;;Released;2003-10-24;24/10/2003;Exact;Original tracker;EEV-0034;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Magma VS Aqua: Two Ambitions | 054/080 | 1st Edition
EVM-0036;No;0;Eevee;Magma VS Aqua: Two Ambitions;054/080;Standard;Japanese;Japanese;1;No;;Released;2003-10-24;24/10/2003;Exact;Original tracker;EEV-0035;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Magma VS Aqua: Two Ambitions | 054/080 | Standard
EVM-0037;No;0;Eevee;EX Sandstorm;63/100;No e-Reader Logo;English;English, French, German, Italian;4;Yes;French, German, Italian;Released;2004-10-18;"18/10/2004 (EX Battle Stadium Gardevoir Deck; no e-Reader logo)";Exact;Original tracker;EEV-0033;Audited base + language mapping;"EX Battle Stadium deck printing without the e-Reader dot code; documented in English and European-language editions.";https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | EX Sandstorm | 63/100 | No e-Reader Logo
EVM-0038;No;0;Eevee;Golden Sky, Silvery Ocean;079/106;1st Edition (C66);Japanese;Japanese;1;No;;Released;2005-04-08;08/04/2005;Exact;Original tracker;EEV-0037;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Golden Sky, Silvery Ocean | 079/106 | 1st Edition (C66)
EVM-0039;No;0;Eevee;Golden Sky, Silvery Ocean;079/106;1st Edition (F3X);Japanese;Japanese;1;No;;Released;2005-04-08;08/04/2005;Exact;Original tracker;EEV-0038;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Golden Sky, Silvery Ocean | 079/106 | 1st Edition (F3X)
EVM-0040;No;0;Eevee;Golden Sky, Silvery Ocean;079/106;1st Edition (NB5);Japanese;Japanese;1;No;;Released;2005-04-08;08/04/2005;Exact;Original tracker;EEV-0039;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Golden Sky, Silvery Ocean | 079/106 | 1st Edition (NB5)
EVM-0041;No;0;Eevee;Golden Sky, Silvery Ocean;079/106;1st Edition (POP);Japanese;Japanese;1;No;;Released;2005-04-08;08/04/2005;Exact;Original tracker;EEV-0040;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Golden Sky, Silvery Ocean | 079/106 | 1st Edition (POP)
EVM-0042;No;0;Eevee;Golden Sky, Silvery Ocean;079/106;Standard (C66);Japanese;Japanese;1;No;;Released;2005-04-08;08/04/2005;Exact;Original tracker;EEV-0041;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Golden Sky, Silvery Ocean | 079/106 | Standard (C66)
EVM-0043;No;0;Eevee;Golden Sky, Silvery Ocean;079/106;Standard (F3X);Japanese;Japanese;1;No;;Released;2005-04-08;08/04/2005;Exact;Original tracker;EEV-0042;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Golden Sky, Silvery Ocean | 079/106 | Standard (F3X)
EVM-0044;No;0;Eevee;Golden Sky, Silvery Ocean;079/106;Standard (NB5);Japanese;Japanese;1;No;;Released;2005-04-08;08/04/2005;Exact;Original tracker;EEV-0043;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Golden Sky, Silvery Ocean | 079/106 | Standard (NB5)
EVM-0045;No;0;Eevee;Golden Sky, Silvery Ocean;079/106;Standard (POP);Japanese;Japanese;1;No;;Released;2005-04-08;08/04/2005;Exact;Original tracker;EEV-0044;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | Golden Sky, Silvery Ocean | 079/106 | Standard (POP)
EVM-0046;No;0;Eevee;EX Unseen Forces;55/115;Reverse Holo / Set Stamp;English;English, German, French, Italian, Spanish, Portuguese;6;Yes;German, French, Italian, Spanish, Portuguese;Released;2005-08-22;22/08/2005;Exact;Original tracker;EEV-0048;Audited base + language mapping;"Reverse holo printing carries the set stamp; collapsed from two duplicate tracker slots.";https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | EX Unseen Forces | 55/115 | Reverse Holo / Set Stamp
EVM-0047;No;0;Eevee;EX Unseen Forces;55/115;Standard (X6M-1TY-0F6);English;English, German, French, Italian, Spanish, Portuguese;6;Yes;German, French, Italian, Spanish, Portuguese;Released;2005-08-22;22/08/2005;Exact;Original tracker;EEV-0045;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | EX Unseen Forces | 55/115 | Standard (X6M-1TY-0F6)
EVM-0048;No;0;Eevee;EX Unseen Forces;55/115;Standard (X6M-1TY-9G3);English;English, German, French, Italian, Spanish, Portuguese;6;Yes;German, French, Italian, Spanish, Portuguese;Released;2005-08-22;22/08/2005;Exact;Original tracker;EEV-0046;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | EX Unseen Forces | 55/115 | Standard (X6M-1TY-9G3)
EVM-0049;No;0;Eevee;EX Unseen Forces;55/115;Standard (X6M-1TY-LPX);English;English, German, French, Italian, Spanish, Portuguese;6;Yes;German, French, Italian, Spanish, Portuguese;Released;2005-08-22;22/08/2005;Exact;Original tracker;EEV-0047;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | EX Unseen Forces | 55/115 | Standard (X6M-1TY-LPX)
EVM-0050;No;0;Eevee;Holon Research Tower: Fire Quarter Deck;007/015;Reverse Holo;Japanese;Japanese;1;No;;Released;2005-09-30;"30/09/2005 e 07/10/2005 (uscite dei Quarter Deck; data ancorata alla prima)";Range;Original tracker;EEV-0050;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://bulbapedia.bulbagarden.net/wiki/Eevee_(EX_Delta_Species_69);Eevee | Holon Research Tower: Fire Quarter Deck | 007/015 | Reverse Holo
EVM-0051;No;0;Eevee;Holon Research Tower: Fire Quarter Deck;007/015;Standard;Japanese;Japanese;1;No;;Released;2005-09-30;"30/09/2005 e 07/10/2005 (uscite dei Quarter Deck; data ancorata alla prima)";Range;Original tracker;EEV-0051;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://bulbapedia.bulbagarden.net/wiki/Eevee_(EX_Delta_Species_69);Eevee | Holon Research Tower: Fire Quarter Deck | 007/015 | Standard
EVM-0052;No;0;Eevee;Holon Research Tower: Lightning Quarter Deck;007/015;Reverse Holo;Japanese;Japanese;1;No;;Released;2005-09-30;"30/09/2005 e 07/10/2005 (uscite dei Quarter Deck; data ancorata alla prima)";Range;Original tracker;EEV-0052;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://bulbapedia.bulbagarden.net/wiki/Eevee_(EX_Delta_Species_69);Eevee | Holon Research Tower: Lightning Quarter Deck | 007/015 | Reverse Holo
EVM-0053;No;0;Eevee;Holon Research Tower: Lightning Quarter Deck;007/015;Standard;Japanese;Japanese;1;No;;Released;2005-09-30;"30/09/2005 e 07/10/2005 (uscite dei Quarter Deck; data ancorata alla prima)";Range;Original tracker;EEV-0053;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://bulbapedia.bulbagarden.net/wiki/Eevee_(EX_Delta_Species_69);Eevee | Holon Research Tower: Lightning Quarter Deck | 007/015 | Standard
EVM-0054;No;0;Eevee;Holon Research Tower: Water Quarter Deck;007/015;Reverse Holo;Japanese;Japanese;1;No;;Released;2005-09-30;"30/09/2005 e 07/10/2005 (uscite dei Quarter Deck; data ancorata alla prima)";Range;Original tracker;EEV-0054;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://bulbapedia.bulbagarden.net/wiki/Eevee_(EX_Delta_Species_69);Eevee | Holon Research Tower: Water Quarter Deck | 007/015 | Reverse Holo
EVM-0055;No;0;Eevee;Holon Research Tower: Water Quarter Deck;007/015;Standard;Japanese;Japanese;1;No;;Released;2005-09-30;"30/09/2005 e 07/10/2005 (uscite dei Quarter Deck; data ancorata alla prima)";Range;Original tracker;EEV-0055;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://bulbapedia.bulbagarden.net/wiki/Eevee_(EX_Delta_Species_69);Eevee | Holon Research Tower: Water Quarter Deck | 007/015 | Standard
EVM-0056;No;0;Eevee;PCG-P Promos;111/PCG-P;Meiji;Japanese;Japanese;1;No;;Released;2005-10-17;17/10/2005 (promo Meiji);Exact;Original tracker;EEV-0036;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | PCG-P Promos | 111/PCG-P | Meiji
EVM-0057;No;0;Eevee ?;Holon Research Tower;073/086;1st Edition;Japanese;Japanese;1;No;;Released;2005-10-28;28/10/2005;Exact;Original tracker;EEV-0056;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee ? | Holon Research Tower | 073/086 | 1st Edition
EVM-0058;No;0;Eevee ?;Holon Research Tower;073/086;Standard;Japanese;Japanese;1;No;;Released;2005-10-28;28/10/2005;Exact;Original tracker;EEV-0057;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee ? | Holon Research Tower | 073/086 | Standard
EVM-0059;No;0;Eevee ?;EX Delta Species;68/113;Reverse Holo / Set Stamp;English;English, German, French, Italian;4;Yes;German, French, Italian;Released;2005-10-31;31/10/2005;Exact;Original tracker;EEV-0061;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee ? | EX Delta Species | 68/113 | Reverse Holo / Set Stamp
EVM-0060;No;0;Eevee ?;EX Delta Species;68/113;Standard (HD5-CHX-3D3);English;English, German, French, Italian;4;Yes;German, French, Italian;Released;2005-10-31;31/10/2005;Exact;Original tracker;EEV-0058;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee ? | EX Delta Species | 68/113 | Standard (HD5-CHX-3D3)
EVM-0061;No;0;Eevee ?;EX Delta Species;68/113;Standard (HD5-CHX-5RG);English;English, German, French, Italian;4;Yes;German, French, Italian;Released;2005-10-31;31/10/2005;Exact;Original tracker;EEV-0059;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee ? | EX Delta Species | 68/113 | Standard (HD5-CHX-5RG)
EVM-0062;No;0;Eevee ?;EX Delta Species;68/113;Standard (HD5-CHX-L0B);English;English, German, French, Italian;4;Yes;German, French, Italian;Released;2005-10-31;31/10/2005;Exact;Original tracker;EEV-0060;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee ? | EX Delta Species | 68/113 | Standard (HD5-CHX-L0B)
EVM-0063;No;0;Eevee;EX Delta Species;69/113;Reverse Holo / Set Stamp;English;English, German, French, Italian;4;Yes;German, French, Italian;Released;2005-10-31;31/10/2005;Exact;Original tracker;EEV-0066;Audited base + language mapping;;https://pokecottage.com/pokemon-master-sets/eevee;https://www.elitefourum.com/t/collectors-guide-to-eevee-cards-in-all-languages/62616;Eevee | EX Delta Species | 69/113 | Reverse Holo / Set Stamp
